Word            Frequency
frowning                4
nicely                  2
hall                    9
explanation             2
pretend                 1
youth                   6
kettle                  1
quadrille               4
tea                    19
twinkling               4
drunk                   2
introduced              1
rabbit                 51
legs                    3
flapper                 1
                       1
prison                  1
sister                  9
blasts                  2
"                       3
solid                   1
chimneys                1
spreading               1
size                   13
remarking               3
left                   14
temper                  5
wink                    2
baked                   1
thoughtfully            4
wine                    2
wind                    2
humble                  1
chapter                12
telling                 2
airs                    1
concluded               2
talking                17
turn                   11
"who                    1
balanced                1
result                  1
arrived                 1
corners                 1
bowing                  1
curiouser               2
mabel                   4
stirring                2
multiplication          1
quiet                   2
stupidest               1
hand                   20
uglification            1
ordered                 4
salt                    2
stingy                  1
eating                  1
prettier                1
straight                2
lips                    1
humbly                  2
throw                   3
fifth                   1
thank                   4
days                    4
arch                    1
faces                   5
returned                2
violent                 2
sharply                 4
empty                   1
wish                   21
tie                     1
pigs                    2
wise                    2
ferrets                 2
ambition                1
conversation           10
laugh                   1
roared                  1
rome                    2
singers                 2
murder                  1
pat                     2
invitation              2
paw                     3
enormous                1
clearer                 1
list                    3
marmalade               1
strange                 5
inquired                1
toast                   1
sand                    1
walked                 10
tails                   3
soles                   1
authority               2
remarked               10
bursting                1
cleared                 1
northumbria             2
creature                4
child                  11
harm                    1
young                   5
downwards               1
rope                    1
clinging                1
flown                   1
arranged                1
producing               1
sneezing                6
patiently               2
hard                    8
hare                   31
ridge                   1
live                    8
ventured                4
lodging                 1
roof                    6
wits                    1
inquisitively           1
room                   13
pocked                  1
hjckrrh                 1
lady                    3
hopeless                1
splash                  1
pocket                  5
wags                    1
uglifying               1
considered              3
changing                2
experiment              2
gained                  1
struck                  2
hate                    2
afore                   1
flashed                 1
write                   6
pet                     1
order                   3
dripping                1
peeped                  3
proceed                 2
pressed                 3
considering             3
impertinent             1
timid                   3
distant                 2
understand              6
custody                 2
slowly                  8
loving                  1
unhappy                 2
bringing                3
arrum                   1
crazy                   1
appearing               1
despair                 1
engaged                 1
queer                  12
pink                    1
wait                    1
woman                   2
pine                    1
queen                  75
protection              1
solemnly                4
matter                  9
shutting                2
footsteps               2
caterpillar            28
top                     7
noise                   3
rapped                  1
roast                   1
violence                1
energetic               1
taller                  2
laid                    2
question               17
raven                   1
wept                    1
housemaid               1
vinegar                 1
cheap                   1
picture                 1
hippopotamus            1
names                   2
trusts                  1
caucus                  3
rose                    4
sluggard                1
tide                    1
capital                 4
arrow                   1
manner                  2
pie                     3
lad                     1
pray                    3
pig                     9
wake                    2
pegs                    1
contemptuous            1
spoon                   2
lap                     2
mineral                 1
"twinkle                1
hated                   1
longitude               2
pigeon                 12
counting                1
circumstances           1
terror                  1
law                     2
lay                     4
swam                    5
pardon                  6
kings                   1
christmas               1
improve                 1
shining                 1
try                    12
arms                    6
twist                   2
rudeness                1
patriotic               1
rising                  1
hastily                16
replied                29
prisoner                2
cause                   3
oblong                  1
accidentally            1
vulgar                  1
twentieth               1
attending               3
busy                    2
land                    1
explanations            1
jelly                   1
floor                   3
says                    4
direction               5
burn                    2
tied                    1
buttons                 1
chief                   1
doubtful                2
cry                     3
opening                 3
"uglification           1
hatching                1
burning                 1
conduct                 1
velvet                  1
treading                2
machines                1
tidy                    1
walk                    5
quietly                 5
caught                  3
fanned                  1
rabbits                 1
eels                    1
concert                 2
clamour                 1
led                     4
pity                    3
unimportant             4
beautiful              13
tut                     2
lessen                  1
state                   1
scolded                 1
welcome                 1
meeting                 1
cares                   2
queerest                1
night                   4
pace                    1
opposite                1
pack                    5
supple                  1
reality                 1
bawled                  1
offend                  1
circle                  1
memorandum              1
cup                     2
cur                     1
wasting                 2
wandered                2
cut                     5
perfectly               4
neatly                  2
killing                 1
prize                   1
raving                  2
accident                2
moment                 31
pop                     1
calmly                  1
pencils                 1
worried                 1
kitchen                 4
lark                    1
escape                  4
funny                   3
think                  53
occurred                2
refused                 1
beating                 2
uneasily                2
anxiously              14
fainting                1
entirely                2
mournfully              1
standing                1
watch                   8
speech                  3
dodo                   13
purple                  1
feelings                2
cartwheels              1
fashion                 2
lefthand                2
undertone               2
lie                     2
accounting              1
shook                   9
late                    6
fellows                 1
school                  5
lit                     1
feathers                1
blows                   1
dogs                    3
immense                 1
hat                     1
shrieks                 1
cautiously              3
brush                   1
glass                  10
pronounced              1
sighed                  5
juror                   1
prosecute               1
dunce                   1
wash                    2
doubt                   4
loveliest               1
uncomfortable           4
measure                 1
involved                1
playing                 2
fixed                   1
rattle                  1
swim                    5
jurymen                 4
full                    6
pepper                  8
memory                  1
cards                   3
askance                 1
asking                  5
impossible              3
millennium              1
complaining             1
dried                   1
settling                1
house                  18
mice                    4
yesterday               3
currants                1
denying                 1
attends                 1
assembled               2
contemptuously          2
steady                  1
vote                    1
earls                   2
hours                   4
unjust                  1
yer                     4
shore                   3
gravely                 3
pair                    5
licking                 1
manage                  7
fallen                  4
delightful              2
cauldron                2
verses                  4
imitated                1
downward                1
happy                   1
pun                     1
alice                 398
put                    31
climb                   1
eaglet                  3
remembered              5
golden                  7
fountains               2
lonely                  2
pale                    4
rustled                 1
furiously               1
flowers                 2
threw                   2
"french                 1
players                 4
lesson                  3
dates                   1
coast                   1
tiny                    4
telescopes              1
consultation            1
sorrows                 1
muddle                  1
hookah                  5
flinging                1
doubled                 1
uncomfortably           1
lazy                    1
bright                  8
teaching                1
crimson                 2
growl                   3
grown                   7
confusing               3
merely                  2
manners                 1
meant                   5
means                   5
edwin                   1
classics                1
fury                    3
centre                  1
lately                  1
blown                   1
wonderland              3
ravens                  1
fetch                   7
fellow                  4
garden                 16
hanging                 3
contradicted            1
choice                  2
door                   30
teacup                  3
quick                   2
dodged                  1
hid                     1
audibly                 1
beak                    1
saucepans               1
cucumber                2
sixteenth               1
tell                   31
listen                  7
wondering               7
daresay                 1
hit                     2
antipathies             1
beat                    4
interrupt               1
disappeared             2
sobs                    4
emphasis                1
checked                 3
beau                    4
pointing                4
bear                    2
affair                  1
majesty                12
consider                4
brightened              2
accustomed              1
raising                 1
drinking                1
curiosity               5
minutes                11
tree                    5
pleaded                 3
shouting                2
history                 7
water                   5
puzzling                4
pause                   2
stays                   1
whiskers                3
"poison"                1
twice                   5
nibbling                3
tittered                1
managing                1
sobbed                  1
apples                  2
croqueting              1
alternately             1
fulcrum                 1
part                    2
shepherd                1
conversations           1
thirteen                1
sounds                  4
tones                   2
frighten                1
relief                  2
wildly                  2
ceiling                 1
eat"                    1
noticing                1
crowded                 5
teapot                  1
clean                   1
meal                    1
ears                    5
mean                   10
glad                   11
meat                    1
persisted               2
hurry                  11
blacking                1
account                 1
uneasy                  1
furrows                 1
hoarse                  3
beasts                  2
conqueror               2
shouted                 9
advance                 3
doth                    3
skimming                1
engraved                1
finds                   1
startled                2
rumbling                1
examining               1
railway                 2
unrolled                2
hunting                 3
knowledge               3
soft                    1
happen                  8
carefully               3
banks                   1
pass                    1
mile                    2
shock                   1
milk                    2
delighted               2
opportunity             8
bill                   15
court                  18
easy                    2
sixpence                1
venture                 3
smiled                  2
bathing                 1
eats                    1
teacups                 2
